year,population,murder,rape,robbery,Aggravated Assault,Breaking & Entering,larceny_theft,Motor Vehicle Theft,grand_total,violent_crime_total,violent_crime_percent,property_crime_totals,property_crime_percent,overall_crime_rate_per_100_000_people,violent_crime_rate_per_100_000_people,property_crime_rate_per_100_000_people,murder_per_100_000_people,rape_per_100_000_people,robbery_per_100_000_people,agg_assault_per_100_000_people,b_e_per_100_000_people,larceny_theft_per_100_000_people,m_v_theft_per_100_000_people
2015,149573,9,30,121,293,809,1974,175,3411,453,13.3,2958,86.7,2280.5,302.9,1977.6,6.0,20.1,80.9,195.9,540.9,1319.8,117.0
2001,30214,0,14,25,123,247,548,67,1024,162,15.8,862,84.2,3389.2,536.2,2853.0,0.0,46.3,82.7,407.1,817.5,1813.7,221.8
1989,120554,1,31,41,225,700,2020,126,3144,298,9.5,2846,90.5,2608.0,247.2,2360.8,0.8,25.7,34.0,186.6,580.7,1675.6,104.5
1991,125394,5,24,34,90,623,2465,185,3426,153,4.5,3273,95.5,2732.2,122.0,2610.2,4.0,19.1,27.1,71.8,496.8,1965.8,147.5
1977,82102,3,7,32,85,592,1390,102,2211,127,5.7,2084,94.3,2693.0,154.7,2538.3,3.7,8.5,39.0,103.5,721.1,1693.0,124.2
1981,81781,11,13,24,101,539,1697,88,2473,149,6.0,2324,94.0,3023.9,182.2,2841.7,13.5,15.9,29.3,123.5,659.1,2075.1,107.6
2002,88842,3,16,32,325,349,1284,133,2142,376,17.6,1766,82.4,2411.0,423.2,1987.8,3.4,18.0,36.0,365.8,392.8,1445.3,149.7
1997,111212,4,39,135,539,760,3105,373,4955,717,14.5,4238,85.5,4455.5,644.7,3810.7,3.6,35.1,121.4,484.7,683.4,2792.0,335.4
2001,47234,2,9,37,310,382,1700,102,2542,358,14.1,2184,85.9,5381.7,757.9,4623.8,4.2,19.1,78.3,656.3,808.7,3599.1,215.9
2017,167630,0,38,22,263,328,1551,82,2284,323,14.1,1961,85.9,1362.5,192.7,1169.8,0.0,22.7,13.1,156.9,195.7,925.3,48.9
1986,65135,0,21,18,250,499,1062,77,1927,289,15.0,1638,85.0,2958.5,443.7,2514.8,0.0,32.2,27.6,383.8,766.1,1630.5,118.2
2017,37156,0,8,11,35,155,507,14,730,54,7.4,676,92.6,1964.7,145.3,1819.4,0.0,21.5,29.6,94.2,417.2,1364.5,37.7
1983,61393,1,11,16,159,397,981,31,1596,187,11.7,1409,88.3,2599.6,304.6,2295.0,1.6,17.9,26.1,259.0,646.7,1597.9,50.5
2006,88166,1,6,12,238,295,1181,102,1835,257,14.0,1578,86.0,2081.3,291.5,1789.8,1.1,6.8,13.6,269.9,334.6,1339.5,115.7
2010,33937,1,2,25,100,348,620,50,1146,128,11.2,1018,88.8,3376.8,377.2,2999.7,2.9,5.9,73.7,294.7,1025.4,1826.9,147.3
2002,30757,0,2,1,41,104,367,22,537,44,8.2,493,91.8,1745.9,143.1,1602.9,0.0,6.5,3.3,133.3,338.1,1193.2,71.5
2020,25440,0,7,9,56,82,231,13,398,72,18.1,326,81.9,1564.5,283.0,1281.4,0.0,27.5,35.4,220.1,322.3,908.0,51.1
2019,253798,7,49,90,327,346,1987,116,2922,473,16.2,2449,83.8,1151.3,186.4,964.9,2.8,19.3,35.5,128.8,136.3,782.9,45.7
2006,31487,1,7,32,141,338,901,89,1509,181,12.0,1328,88.0,4792.5,574.8,4217.6,3.2,22.2,101.6,447.8,1073.5,2861.5,282.7
2016,51255,3,17,39,93,289,1514,32,1987,152,7.6,1835,92.4,3876.7,296.6,3580.1,5.9,33.2,76.1,181.4,563.8,2953.9,62.4
2001,813420,109,255,3916,3974,8914,28111,13670,58949,8254,14.0,50695,86.0,7247.1,1014.7,6232.3,13.4,31.3,481.4,488.6,1095.9,3455.9,1680.6
1988,17410,1,2,3,34,90,238,16,384,40,10.4,344,89.6,2205.6,229.8,1975.9,5.7,11.5,17.2,195.3,516.9,1367.0,91.9
1998,148119,2,38,64,190,805,2480,181,3760,294,7.8,3466,92.2,2538.5,198.5,2340.0,1.4,25.7,43.2,128.3,543.5,1674.3,122.2
1991,34510,1,9,4,127,262,545,46,994,141,14.2,853,85.8,2880.3,408.6,2471.7,2.9,26.1,11.6,368.0,759.2,1579.3,133.3
1993,201881,5,26,130,348,1490,5350,1083,8432,509,6.0,7923,94.0,4176.7,252.1,3924.6,2.5,12.9,64.4,172.4,738.1,2650.1,536.5
2020,102707,1,18,37,216,253,1377,125,2027,272,13.4,1755,86.6,1973.6,264.8,1708.7,1.0,17.5,36.0,210.3,246.3,1340.7,121.7
1994,81071,2,26,44,244,555,1380,70,2321,316,13.6,2005,86.4,2862.9,389.8,2473.1,2.5,32.1,54.3,301.0,684.6,1702.2,86.3
1999,83114,0,22,37,395,693,1666,153,2966,454,15.3,2512,84.7,3568.6,546.2,3022.4,0.0,26.5,44.5,475.3,833.8,2004.5,184.1
1989,30875,4,17,36,178,383,861,45,1524,235,15.4,1289,84.6,4936.0,761.1,4174.9,13.0,55.1,116.6,576.5,1240.5,2788.7,145.7
1989,715912,21,200,866,900,4505,18204,3010,27706,1987,7.2,25719,92.8,3870.0,277.5,3592.5,2.9,27.9,121.0,125.7,629.3,2542.8,420.4
2000,74930,2,24,21,224,421,1562,124,2378,271,11.4,2107,88.6,3173.6,361.7,2812.0,2.7,32.0,28.0,298.9,561.9,2084.6,165.5
