Population,"Violent Crime Rate per 100,000 People"
149573,302.9
30214,536.2
120554,247.2
125394,122.0
82102,154.7
81781,182.2
88842,423.2
111212,644.7
47234,757.9
167630,192.7
65135,443.7
37156,145.3
61393,304.6
88166,291.5
33937,377.2
30757,143.1
25440,283.0
253798,186.4
31487,574.8
51255,296.6
813420,1014.7
17410,229.8
148119,198.5
34510,408.6
201881,252.1
102707,264.8
81071,389.8
83114,546.2
30875,761.1
715912,277.5
74930,361.7
30194,559.7
115768,231.5
150576,330.1
118591,221.8
763138,2052.6
388659,415.3
90430,543.0
84860,268.7
644554,1741.8
60780,281.3
129059,387.4
496929,764.3
268769,228.8
96254,492.4
23660,139.5
24036,553.3
262537,209.1
30734,488.1
167424,238.9
93573,460.6
888070,505.6
28881,315.1
574093,274.0
33728,714.5
221837,305.2
171843,208.9
154180,548.7
424124,355.3
120500,358.5
864100,1861.6
918624,246.2
25970,446.7
20500,268.3
92641,246.1
49084,150.8
30863,382.3
78384,510.3
827068,572.7
30341,234.0
18973,353.1
732968,3002.3
147940,397.5
255760,160.7
30289,89.1
195277,465.0
657707,921.1
25939,285.3
31909,467.0
230359,344.2
28874,242.4
980991,172.2
148828,302.4
588594,1610.6
251139,221.4
102376,357.5
81382,406.7
17124,303.7
19012,294.6
19482,308.0
74325,437.3
777313,843.8
28177,230.7
169003,221.3
20200,331.7
19061,225.6
72922,511.5
26270,270.3
840833,952.5
32955,500.7
157065,359.1
19731,451.1
237388,356.0
449440,472.1
219311,335.6
124602,314.6
122336,633.5
29700,858.6
34850,398.9
168719,151.7
71380,547.8
90118,127.6
23148,432.0
30820,652.2
117027,451.2
164663,252.0
161295,566.0
16680,305.8
99669,584.9
28406,292.2
84644,912.1
239914,344.3
489656,691.1
827494,1730.4
71806,334.2
930123,247.7
31136,468.9
62626,378.4
913206,385.3
582458,227.8
848440,999.6
512277,618.2
555330,417.6
30303,650.1
542753,492.9
50510,186.1
29582,192.7
20351,422.6
25784,318.0
30737,644.2
30621,672.7
30317,181.4
91175,499.0
35284,348.6
80461,147.9
172300,228.1
29299,180.9
764893,1874.2
784554,2120.1
120387,378.8
25626,323.9
167529,204.1
26962,189.2
26715,1134.2
434253,425.6
96080,261.2
932846,236.6
33379,335.5
148188,232.8
23762,328.3
30236,797.1
662646,995.6
77414,959.8
16954,312.6
238083,205.8
660826,2245.2
19954,380.9
27207,150.7
28923,522.1
37476,808.5
102737,237.5
29897,227.4
80835,111.3
31832,496.4
44402,470.7
1041345,195.1
64900,248.1
527278,555.5
110733,583.4
29885,237.6
248869,280.1
47963,994.5
133882,387.7
23833,327.3
164609,328.1
76838,482.8
26060,475.8
630126,279.2
214271,251.1
91132,121.8
66040,401.3
216723,255.6
198177,490.0
34844,249.7
828871,487.7
31109,597.9
29619,216.1
605436,1853.4
247147,260.2
32376,580.7
40563,278.6
51408,344.3
81858,142.9
30952,701.1
710514,1089.8
777056,321.6
102940,653.8
16640,294.5
91047,143.9
61157,408.8
249859,220.9
30382,230.4
26174,256.0
140650,389.6
20232,316.3
682233,868.3
23824,541.5
129186,388.6
583513,320.1
30829,535.2
702535,283.0
144340,328.4
27524,367.0
101431,496.9
31130,658.5
101594,445.9
23785,576.0
35500,326.8
754292,822.0
91927,144.7
22394,281.3
25452,267.2
81659,391.9
111234,267.0
511145,573.4
679708,1013.8
153138,230.5
783389,850.3
135495,362.4
685948,657.9
899994,233.8
69699,331.4
111000,290.1
618385,1797.4
18931,306.4
681610,794.4
97877,405.6
173047,201.7
156234,371.9
37667,695.6
109397,358.3
19936,566.8
31790,484.4
115933,301.9
109767,407.2
79655,178.3
31361,491.1
102068,427.2
96281,634.6
167468,137.9
25496,333.4
150208,596.5
24057,748.2
36673,210.0
29749,107.6
289807,209.8
30800,620.1
643363,648.9
792855,574.5
32927,431.3
634549,1596.7
29696,165.0
151550,272.5
18134,325.4
95757,762.3
577904,317.9
34294,734.8
829560,584.9
102033,365.6
146708,329.2
33170,135.7
19353,273.9
29092,553.4
473811,542.0
123372,164.5
623513,1352.3
150771,186.4
173062,329.4
56486,531.1
23980,450.4
662025,937.3
243718,248.6
95644,376.4
51942,477.5
232717,312.8
72516,543.3
36544,166.9
765496,858.5
74893,349.8
27164,139.9
36985,505.6
575310,194.2
788266,724.8
95370,447.7
797794,545.1
26926,375.1
24470,572.1
250706,243.7
221305,339.8
504601,714.8
114031,188.5
22534,510.3
87133,265.1
27972,475.5
621252,1558.1
192284,305.8
25520,297.8
26491,181.2
70577,358.5
748099,2552.3
813307,281.1
49804,544.1
55035,209.0
184690,364.4
116584,575.6
71845,393.9
26259,365.6
105411,306.4
80901,416.6
101533,299.4
102522,298.5
28420,415.2
101154,626.8
32453,576.2
33693,374.0
910354,310.6
49023,244.8
31147,558.6
124225,704.4
822814,510.4
75274,504.8
251859,213.6
943025,236.6
427239,380.6
32795,170.8
79936,800.6
86000,169.8
769456,334.3
55740,299.6
669127,852.8
114891,258.5
48890,196.4
29166,205.7
680363,706.8
764160,1091.3
32174,578.1
120546,574.9
19624,300.7
150339,318.6
73599,406.3
162578,362.3
508071,689.5
79034,946.4
245356,242.9
19856,292.1
719587,2436.1
30124,610.8
573631,357.0
103219,412.7
241868,253.9
1054933,178.9
671342,700.5
78947,153.3
130240,593.5
19220,202.9
33812,263.2
70140,325.1
784118,788.1
29991,593.5
216208,260.4
93582,329.1
30380,671.5
29839,429.0
79503,922.0
46543,754.1
23440,443.7
663207,809.9
30681,619.3
70868,431.8
74946,317.6
769740,1177.4
54901,358.8
110294,220.3
96782,330.6
90031,118.8
831374,531.2
798175,2095.9
28138,369.6
75155,484.3
102047,731.0
35792,296.2
70413,803.8
160989,323.0
36680,468.9
75723,503.1
31034,699.2
24671,531.0
128265,322.0
58201,357.4
776836,1012.8
860974,1650.7
85901,1182.8
464193,452.0
711951,1040.7
98637,243.3
