population,murder,rape,robbery,Aggravated Assault,Breaking & Entering,larceny_theft,Motor Vehicle Theft,crime_level
90118,2,8,22,83,400,1255,45,0
23148,2,10,7,81,159,344,24,1
30820,0,15,32,154,305,873,74,1
117027,1,30,102,395,1167,3565,399,1
164663,0,47,48,320,456,1878,151,0
161295,4,48,103,758,900,2918,261,1
16680,0,2,6,43,166,370,22,0
99669,4,25,106,448,893,2381,111,1
28406,2,7,9,65,180,439,38,0
84644,4,35,132,601,877,2613,193,1
239914,9,36,202,579,990,3332,437,0
489656,11,117,646,2610,3147,13402,1398,1
827494,171,499,7574,6075,15463,32315,6213,1
71806,1,17,34,188,517,1657,49,0
930123,19,145,1261,879,3932,17466,2640,0
31136,0,12,10,124,204,558,77,1
62626,4,22,8,203,338,932,52,1
913206,88,277,1534,1620,2951,14389,3371,1
582458,12,122,595,598,5932,17044,1731,0
848440,130,287,4094,3970,6903,26171,12944,1
512277,23,110,943,2091,3420,12217,1654,1
555330,15,71,630,1603,2522,11272,677,1
30303,4,16,30,147,874,1927,127,1
542753,15,91,597,1972,2259,11394,832,1
50510,0,8,8,78,57,267,19,0
29582,1,5,0,51,139,363,35,0
20351,1,1,14,70,130,195,13,1
25784,1,6,23,52,265,598,20,0
30737,0,8,23,167,329,834,47,1
30621,1,10,36,159,384,774,47,1
30317,1,0,2,52,100,320,16,0
91175,4,16,54,381,731,1777,200,1
35284,3,10,27,83,169,683,26,0
80461,2,12,26,79,541,1706,108,0
172300,2,29,47,315,567,2055,102,0
29299,0,3,2,48,141,288,10,0
764893,226,595,7485,6030,13558,31270,7495,1
784554,216,566,10046,5805,17774,38116,5661,1
120387,5,34,103,314,1677,3933,415,1
25626,0,17,10,56,115,239,11,0
167529,4,30,33,275,542,1735,65,0
26962,0,5,2,44,213,345,35,0
26715,0,15,36,252,750,1422,79,1
434253,12,126,643,1067,4259,13702,2084,1
96080,1,18,28,204,856,1670,101,0
932846,20,133,1189,865,3708,18181,2634,0
33379,2,2,24,84,382,693,34,0
148188,7,23,100,215,1067,2650,230,0
23762,0,0,3,75,181,383,14,0
30236,5,20,25,191,284,650,57,1
662646,34,166,1242,5155,9981,24298,2941,1
77414,3,51,138,551,1088,2842,241,1
16954,1,2,6,44,140,368,20,0
238083,6,29,240,215,1317,5261,704,0
660826,256,299,5762,8520,10960,30457,8199,1
19954,0,2,15,59,125,249,17,1
27207,1,0,3,37,200,362,36,0
28923,0,12,10,129,187,424,42,1
37476,3,18,26,256,622,2153,114,1
102737,0,27,15,202,523,1416,138,0
29897,0,6,1,61,142,298,15,0
80835,2,15,6,67,361,1338,68,0
31832,1,5,29,123,205,604,25,1
44402,0,10,10,189,263,600,52,1
1041345,29,275,641,1087,1946,13820,768,0
64900,1,11,31,118,613,1330,160,0
527278,18,113,661,2137,2860,11732,1236,1
110733,11,42,116,477,838,3140,420,1
29885,0,13,3,55,160,367,26,0
248869,3,54,156,484,1019,2806,206,0
47963,2,18,78,379,310,1819,93,1
133882,3,28,89,399,714,2156,268,1
23833,1,7,10,60,145,260,22,0
164609,16,47,96,381,257,1669,203,0
76838,0,23,17,331,292,853,82,1
26060,1,3,28,92,222,500,27,1
630126,12,127,728,892,5430,17007,1986,0
214271,9,24,147,358,936,3668,403,0
91132,1,15,19,76,148,726,48,0
66040,7,18,54,186,1067,2195,131,1
216723,1,33,222,298,1497,6479,753,0
198177,1,49,134,787,698,3691,255,1
34844,1,8,13,65,153,642,15,0
828871,25,100,1512,2405,3493,17584,1499,1
31109,6,28,18,134,672,1604,124,1
29619,0,6,2,56,161,359,26,0
605436,309,367,5130,5415,6074,17102,4389,1
247147,5,39,148,451,779,2965,207,0
32376,1,9,54,124,242,720,38,1
40563,2,8,15,88,269,587,55,0
51408,2,26,43,106,220,1514,39,0
81858,1,18,18,80,447,1570,55,0
30952,1,20,27,169,247,930,66,1
710514,43,303,2307,5090,8322,25586,5619,1
777056,21,189,993,1296,4971,22821,3134,0
102940,6,39,152,476,967,2263,195,1
16640,0,1,6,42,226,314,21,0
91047,0,1,30,100,347,1144,43,0
61157,1,12,25,212,603,1386,134,1
249859,9,42,121,380,569,2813,90,0
30382,2,5,3,60,190,339,22,0
26174,3,1,13,50,211,556,36,0
140650,2,43,115,388,1575,3427,241,1
20232,0,0,22,42,100,227,10,0
682233,47,366,2567,2944,10156,20854,5920,1
23824,1,12,8,108,262,426,35,1
129186,3,26,117,356,660,1947,256,1
583513,13,167,955,733,7135,19958,2000,0
30829,3,19,32,111,778,1751,107,1
702535,19,184,812,973,5529,19887,3218,0
144340,3,26,109,336,1989,3374,282,0
27524,0,7,14,80,273,648,41,0
101431,3,38,142,321,837,2420,111,1
31130,2,8,22,173,224,736,58,1
101594,2,31,101,319,673,2662,96,1
23785,0,11,19,107,267,533,33,1
35500,1,6,11,98,270,629,59,0
754292,33,240,1587,4340,5586,21270,3418,1
91927,0,18,19,96,122,678,40,0
22394,1,5,11,46,205,327,30,0
25452,1,6,14,47,91,224,4,0
81659,3,9,16,292,336,982,83,1
111234,2,20,51,224,545,1673,69,0
511145,18,109,810,1994,3419,14302,1581,1
679708,24,183,1092,5592,8617,21289,3064,1
153138,0,33,52,268,620,2020,149,0
783389,95,265,2474,3827,7985,25755,8619,1
135495,1,23,107,360,683,2091,273,0
685948,38,308,2205,1962,11448,27030,4172,1
899994,32,145,977,950,3996,19733,3958,0
69699,1,19,42,169,313,926,59,0
111000,2,12,87,221,1025,2088,122,0
618385,318,299,5288,5210,7399,17278,5336,1
18931,0,1,4,53,108,230,8,0
681610,42,397,2400,2576,9784,19705,4574,1
97877,3,42,80,272,1037,3282,385,1
173047,4,36,40,269,523,2085,104,0
156234,3,23,120,435,539,2200,207,0
37667,1,21,28,212,443,1921,98,1
109397,2,17,82,291,918,2027,127,0
19936,1,7,19,86,158,234,25,1
31790,1,16,15,122,285,734,54,1
115933,1,18,111,220,850,1868,177,0
109767,7,22,70,348,889,2075,141,1
79655,3,5,20,114,669,1425,93,0
31361,2,7,19,126,265,739,29,1
102068,5,26,86,319,806,1958,111,1
96281,9,27,103,472,710,2488,447,1
167468,0,33,48,150,414,1578,52,0
25496,4,6,10,65,250,601,39,0
150208,5,35,124,732,894,3160,248,1
24057,1,11,13,155,259,465,44,1
36673,1,13,11,52,73,382,9,0
29749,0,8,1,23,181,363,25,0
289807,6,33,215,354,1110,5094,374,0
30800,3,18,34,136,928,1821,126,1
643363,26,169,751,3229,8868,22326,2892,1
792855,32,154,1471,2898,4316,19536,2443,1
32927,1,10,21,110,271,825,48,1
634549,234,137,4058,5703,7880,17635,5518,1
29696,1,2,2,44,158,299,26,0
151550,2,22,77,312,1155,2605,236,0
18134,0,5,5,49,135,270,14,0
95757,10,32,183,505,1124,2604,139,1
577904,20,159,438,1220,1143,8742,659,0
34294,5,22,34,191,818,2344,108,1
829560,28,352,1337,3135,2612,16882,1847,1
102033,3,25,70,275,526,1927,153,0
146708,6,32,138,307,1837,3326,241,0
33170,1,6,14,24,111,369,18,0
19353,4,3,2,44,266,347,31,0
29092,2,11,10,138,207,606,48,1
473811,7,117,631,1813,3525,13432,1529,1
123372,1,32,23,147,645,1941,137,0
623513,211,245,3740,4236,6966,18419,4504,1
150771,2,33,56,190,676,2251,165,0
173062,11,38,105,416,1422,3225,317,0
56486,2,9,28,261,645,1283,175,1
23980,1,13,16,78,260,552,29,1
662025,32,192,1401,4580,11964,25811,3203,1
243718,4,41,113,448,625,3025,83,0
95644,1,24,45,290,415,1401,142,1
