Population,Murder,Rape,Robbery,Aggravated Assault,Breaking & Entering,Larceny Theft,Motor Vehicle Theft,"Violent Crime Rate per 100,000 People"
149573.0,9.0,30.0,121.0,293.0,809.0,1974.0,175.0,302.9
30214.0,0.0,14.0,25.0,123.0,247.0,548.0,67.0,536.2
120554.0,1.0,31.0,41.0,225.0,700.0,2020.0,126.0,247.2
125394.0,5.0,24.0,34.0,90.0,623.0,2465.0,185.0,122.0
82102.0,3.0,7.0,32.0,85.0,592.0,1390.0,102.0,154.7
81781.0,11.0,13.0,24.0,101.0,539.0,1697.0,88.0,182.2
88842.0,3.0,16.0,32.0,325.0,349.0,1284.0,133.0,423.2
111212.0,4.0,39.0,135.0,539.0,760.0,3105.0,373.0,644.7
47234.0,2.0,9.0,37.0,310.0,382.0,1700.0,102.0,757.9
167630.0,0.0,38.0,22.0,263.0,328.0,1551.0,82.0,192.7
65135.0,0.0,21.0,18.0,250.0,499.0,1062.0,77.0,443.7
37156.0,0.0,8.0,11.0,35.0,155.0,507.0,14.0,145.3
61393.0,1.0,11.0,16.0,159.0,397.0,981.0,31.0,304.6
88166.0,1.0,6.0,12.0,238.0,295.0,1181.0,102.0,291.5
33937.0,1.0,2.0,25.0,100.0,348.0,620.0,50.0,377.2
30757.0,0.0,2.0,1.0,41.0,104.0,367.0,22.0,143.1
25440.0,0.0,7.0,9.0,56.0,82.0,231.0,13.0,283.0
253798.0,7.0,49.0,90.0,327.0,346.0,1987.0,116.0,186.4
31487.0,1.0,7.0,32.0,141.0,338.0,901.0,89.0,574.8
51255.0,3.0,17.0,39.0,93.0,289.0,1514.0,32.0,296.6
813420.0,109.0,255.0,3916.0,3974.0,8914.0,28111.0,13670.0,1014.7
17410.0,1.0,2.0,3.0,34.0,90.0,238.0,16.0,229.8
148119.0,2.0,38.0,64.0,190.0,805.0,2480.0,181.0,198.5
34510.0,1.0,9.0,4.0,127.0,262.0,545.0,46.0,408.6
201881.0,5.0,26.0,130.0,348.0,1490.0,5350.0,1083.0,252.1
102707.0,1.0,18.0,37.0,216.0,253.0,1377.0,125.0,264.8
81071.0,2.0,26.0,44.0,244.0,555.0,1380.0,70.0,389.8
83114.0,0.0,22.0,37.0,395.0,693.0,1666.0,153.0,546.2
30875.0,4.0,17.0,36.0,178.0,383.0,861.0,45.0,761.1
715912.0,21.0,200.0,866.0,900.0,4505.0,18204.0,3010.0,277.5
74930.0,2.0,24.0,21.0,224.0,421.0,1562.0,124.0,361.7
30194.0,2.0,6.0,29.0,132.0,258.0,784.0,30.0,559.7
115768.0,3.0,10.0,66.0,189.0,779.0,2001.0,126.0,231.5
150576.0,3.0,43.0,118.0,333.0,531.0,1596.0,151.0,330.1
118591.0,4.0,18.0,54.0,187.0,689.0,1791.0,181.0,221.8
763138.0,259.0,543.0,7986.0,6876.0,14446.0,34082.0,8188.0,2052.6
388659.0,16.0,97.0,416.0,1085.0,4269.0,10131.0,941.0,415.3
90430.0,4.0,33.0,53.0,401.0,821.0,2207.0,282.0,543.0
84860.0,1.0,10.0,13.0,204.0,289.0,954.0,74.0,268.7
644554.0,270.0,208.0,4364.0,6385.0,7855.0,23307.0,6874.0,1741.8
60780.0,0.0,7.0,19.0,145.0,603.0,1235.0,77.0,281.3
129059.0,6.0,29.0,150.0,315.0,1402.0,3439.0,255.0,387.4
496929.0,11.0,119.0,736.0,2932.0,3206.0,13747.0,1258.0,764.3
268769.0,4.0,42.0,263.0,306.0,1225.0,5409.0,544.0,228.8
96254.0,4.0,11.0,79.0,380.0,836.0,1820.0,278.0,492.4
23660.0,0.0,1.0,2.0,30.0,165.0,282.0,13.0,139.5
24036.0,1.0,8.0,18.0,106.0,224.0,515.0,25.0,553.3
262537.0,7.0,46.0,225.0,271.0,1158.0,5148.0,682.0,209.1
30734.0,2.0,12.0,23.0,113.0,197.0,758.0,74.0,488.1
167424.0,2.0,29.0,36.0,333.0,522.0,2085.0,170.0,238.9
93573.0,2.0,18.0,60.0,351.0,753.0,1940.0,264.0,460.6
888070.0,56.0,176.0,2012.0,2246.0,5733.0,18542.0,4293.0,505.6
28881.0,0.0,5.0,3.0,83.0,158.0,359.0,25.0,315.1
574093.0,17.0,151.0,852.0,553.0,8348.0,19615.0,1938.0,274.0
33728.0,3.0,18.0,33.0,187.0,681.0,2041.0,115.0,714.5
221837.0,2.0,31.0,191.0,453.0,1274.0,4005.0,414.0,305.2
171843.0,1.0,31.0,38.0,289.0,611.0,2007.0,133.0,208.9
154180.0,3.0,57.0,107.0,679.0,940.0,3206.0,241.0,548.7
424124.0,20.0,124.0,468.0,895.0,4009.0,11643.0,1805.0,355.3
120500.0,7.0,35.0,102.0,288.0,1295.0,3931.0,421.0,358.5
864100.0,259.0,463.0,9055.0,6309.0,15787.0,30936.0,7602.0,1861.6
918624.0,23.0,148.0,1076.0,1015.0,4273.0,18468.0,3676.0,246.2
25970.0,1.0,9.0,21.0,85.0,214.0,604.0,34.0,446.7
20500.0,5.0,4.0,16.0,30.0,299.0,356.0,21.0,268.3
92641.0,2.0,17.0,13.0,196.0,717.0,1558.0,126.0,246.1
49084.0,1.0,4.0,4.0,65.0,129.0,459.0,21.0,150.8
30863.0,0.0,3.0,18.0,97.0,215.0,711.0,38.0,382.3
78384.0,1.0,16.0,56.0,327.0,607.0,1524.0,173.0,510.3
827068.0,50.0,384.0,1163.0,3140.0,2567.0,16266.0,1602.0,572.7
30341.0,1.0,1.0,5.0,64.0,164.0,351.0,25.0,234.0
18973.0,0.0,7.0,3.0,57.0,191.0,212.0,21.0,353.1
732968.0,353.0,668.0,12408.0,8577.0,18076.0,42814.0,10672.0,3002.3
147940.0,3.0,26.0,176.0,383.0,767.0,2731.0,280.0,397.5
255760.0,5.0,34.0,61.0,311.0,234.0,1441.0,131.0,160.7
30289.0,1.0,5.0,4.0,17.0,124.0,397.0,22.0,89.1
195277.0,6.0,51.0,119.0,732.0,767.0,3008.0,265.0,465.0
657707.0,56.0,427.0,3314.0,2261.0,14298.0,26948.0,4458.0,921.1
25939.0,1.0,9.0,13.0,51.0,213.0,630.0,42.0,285.3
